Report_year,mission_name,mission_station_location,name_last,name_first,title_in_report,MD,DD ,LLD,,,,,
1884,European Turkey ,Incountry,Jenney,E.W.,missionary,FALSE,FALSE,FALSE,,,,,
1884,European Turkey ,Incountry,Clarke,Isabella,miss,FALSE,FALSE,FALSE,,,,,
1884,European Turkey ,Incountry,Jenney,Kate,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,litery department of the armenian mission,Biss,EE,missionary,FALSE,TRUE,FALSE,,,,,
1884,Western Turkey,litery department of the armenian mission,Petibone,I. Fayette,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,litery department of the armenian mission,Greene,Joseph,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,litery department of the armenian mission,Dwight,Henry,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,litery department of the armenian mission,Bliss,Isabella,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,litery department of the armenian mission,Greene,Elizabeth,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,litery department of the armenian mission,Dwight,Ardelle,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Broosa,Baldwin,Theodore,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Broosa,Baldwin,Martha,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Broosa,Twichell,Olive,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Broosa,Newell,Fannie,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Cesarea,Farnsworth,Wilson,missionary,FALSE,TRUE,FALSE,,,,,
1884,Western Turkey,Cesarea,Bartlett,Lyman,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Cesarea,Fowle,James,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Cesarea,Farnsworth,Caroline,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Cesarea,Bartlett,Cornelia,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Cesarea,Towle,Carolinbe,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Cesarea,Closson,Sarah,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Cesarea,Burrage,Fannie,miss ,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Constantinople,Wood,George,missionary,FALSE,TRUE,FALSE,,,,,
1884,Western Turkey,Constantinople,Brooks,Charles,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Constantinople,Peet,William,treasurer_and_bulletin_manager,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Constantinople,Wood,Sarah,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Constantinople,Brooks,Fanny,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Constantinople,Schneider,Susan,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Constantinople,Gleason,Martha,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Constantinople,Peet,Martha,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Constantinople,Lord,Agnes,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Constantinople,McCallum,Emily,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Connected with the Home,Williams,Kate,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Connected with the Home,Patrick,Mary,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Connected with the Home,Williams,Cornelia,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Connected with the Home,Hamlin,Clara,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Connected with the Home,Dodd,Isabella,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Marsovan,Herrick,George,missionary,FALSE,TRUE,FALSE,,,,,
1884,Western Turkey,Marsovan,Riggs,Edward,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Marsovan,Tracy,Charles,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Marsovan,Herrick,Helen,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Marsovan,Riggs,Sarah,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Marsovan,Tracy,Myra,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Marsovan,Fritcher,Eliza ,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Nicomedia,Pierce,John,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Nicomedia,Parsons,Catherine,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Nicomedia,Pierce,Lizzie,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Nicomedia,Farnham,Laura,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Nicomedia,Parsons,Electa,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Sivas,Hubbard,Albert,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Sivas,Perry,Henry,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Sivas,Hubbard,Emma,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Sivas,Perry,Jennie,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Sivas,Chamberlain,Laura,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Sivas,Blake,Susan,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Smyrna,Bowen,Marcellus,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Smyrna,Constantine,George,engaged_in_greek_work,FALSE,TRUE,FALSE,,,,,
1884,Western Turkey,Smyrna,Bowen,Flora,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Smyrna,Constantine,n/a,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Smyrna,Page,Mary Lyon,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Residing at Manisa,Cull,Phoebe,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Residing at Manisa,Lawrence,Clara,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,Trebizond,Parmelee,MP,missionary,TRUE,FALSE,FALSE,,,,,
1884,Western Turkey,Trebizond,Parmalee,Julia,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,In this country,Smith,John,missionary,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,In this country,Washburn,Fannie,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,In this country,Greene,Elizabeth,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,In this country,Williams,Kate,mrs,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,In this country,Parsons,Electa,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,On the way,Melvin,Helen,miss,FALSE,FALSE,FALSE,,,,,
1884,Western Turkey,On the way,Fensam,Flora,miss,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Aintar,Trowbridge,Tillman,missionary,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Aintar,Sanders,Charles,missionary,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Aintar,Riggs,Charles,teacher,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Aintar,Trowbridge,MR,mrs,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Aintar,Sanders,Grace,mrs,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Aintar,Pierce,Ellen,miss,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Aintar,West,Henrietta,miss,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Resding_at_Kessah,Adams,Lucien,missionary,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Resding_at Kessah,Adams,ND,mrs,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Marash,Montgomery,Giles,missionary,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Marash,Marden,Henry,missionary,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Marash,Christie,Thomas,missionary,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Marash,Lee,Lucius,missionary,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Marash,Christie,Carmelite,mrs,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Marash,Lee,Mary,mrs,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Marash,Marden,Etta,mrs,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Marash,Shattuck,Corinna,miss,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Marash,Childs,Harriet,miss,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Residing at Hadjin,Coffing,JL,mrs,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Residing at Hadjin,Hollister,Mary,miss,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,Residing at Adana,Tucker,Laura,miss,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,In this country,Proctor,Myra,miss,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,In this country,Brown,Minnie,miss,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,In this country,Montgomery,Emily,mrs,FALSE,FALSE,FALSE,,,,,
1884,Central Turkey,In this country,Spencer,Charlotte,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Erzroom,Cole,Royal,missionary,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Erzroom,Chambers,Robert,missionary,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Erzroom,Chambers,Willim,missionary,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Erzroom,Cole,Lizzie,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Erzroom,Chambers,Elizabeth,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Erzroom,Chambers,Cornelia,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Erzroom,Van Duzee,Cyrene,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Erzroom,Poers,Hattie G,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Erzroom,Brooks,Mary E,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Harpoot,Wheeler,Crosby,missionary,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Harpoot,Barnum,Herman,missionary,FALSE,TRUE,FALSE,,,,,
1884,Eastern Turkey,Harpoot,Browne,John,missionary,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Harpoot,Wheeler,Susan,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Harpoot,Barnum,Mary,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Harpoot,Browne,Leila,mrs,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Harpoot,Bush,Carrie,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Harpoot,Seymour,Harriet,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Harpoot,Wheeler,Emily,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Harpoot,Wright,Mary,miss,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Mardin,Andrus ,Alpheus,missionary,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Mardin,Dewey,Willis,missionary,FALSE,FALSE,FALSE,,,,,
1884,Eastern Turkey,Mardin,Gates,Claleb Frank,missionary,FALSE,FALSE,FALSE,,,,,
