year,mission_name,stations,out_stations,churches,male_missionaries,female_assistant missionaries,other_workers,native_pastors,native_agents,converts,members
1888,Spain,1,13,10,1,2,0,7,0,85,413
1888,Austria,1,19,3,1,1,0,0,11,59,222
1889,Zulu,9,18,16,9,19,0,4,142,132,1425
1889,East Central Africa,4,16,0,3,6,1,0,2,NA,NA
1889,West Central Africa,4,0,1,7,7,2,1,NA,4,17
1889,European Turkey,4,26,9,10,13,0,7,46,90,682
1889,Western Turkey,8,106,33,23,45,1,26,254,279,2967
1889,Central Turkey,2,50,33,6,18,2,19,134,249,4188
1889,Eastern Turkey,5,113,40,15,31,1,28,271,205,2686
1889,Maratha,7,110,33,12,17,1,16,282,180,1988
1889,Madura,12,236,36,13,20,1,19,435,256,3439
1889,Ceylon,7,25,15,5,8,0,13,59,81,1442
1889,Foochow,3,24,15,7,14,2,0,0,66,402
1889,North China,7,28,6,19,31,5,21,26,52,987
1889,Hong Kong,1,2,2,1,0,0,0,11,2,28
1889,Shanse,2,1,1,6,6,1,0,0,0,5
1889,Japan,7,178,49,24,57,4,23,54,2129,7871
1889,Western Mexico,2,6,2,2,3,0,0,8,11,97
1889,Northern Mexico,4,8,7,4,5,0,0,0,0,190
1889,Spain,1,15,10,1,2,0,7,27,44,329
1889,Austria,1,27,5,1,1,0,3,7,95,296
1889,Hawaii,NA,NA,NA,2,2,NA,NA,NA,NA,NA
1889,Micronesia,3,47,47,7,12,1,21,61,613,4509
1890,Zulu,9,17,16,11,20,0,1,123,86,1155
1890,East Central Africa,2,2,NA,2,3,0,0,0,NA,NA
1890,West Central Africa,4,0,1,7,9,3,1,0,2,19
1890,European Turkey,4,27,9,10,13,0,8,47,82,729
1890,Western Turkey,8,108,34,24,50,1,32,249,275,3118
1890,Central Turkey,2,49,33,6,19,1,17,140,793,5055
1890,Eastern Turkey,5,127,41,18,34,1,29,269,217,2807
1890,Maratha,7,107,33,13,19,1,18,284,192,2115
1890,Madura,12,259,36,13,21,2,17,431,254,3562
1890,Ceylon,7,25,15,4,6,0,13,315,80,1471
1890,Foochow,3,24,16,7,13,2,2,48,88,484
1890,North China,7,28,7,18,34,5,3,49,127,1042
1890,Hong Kong,1,3,2,2,1,0,3,6,6,26
1890,Shanse,2,1,1,6,8,1,0,0,0,10
1890,Japan,9,73,61,26,58,3,26,77,1615,9146
1890,Hawaii,2,NA,NA,2,2,NA,NA,NA,NA,NA
1890,Micronesia,3,51,49,6,13,1,20,64,202,4117
1890,Western Mexico,2,5,0,2,3,0,0,8,NA,68
1890,Northern Mexico,4,8,8,5,6,0,0,0,74,255
1890,Spain,1,17,18,1,2,0,5,27,55,349
1890,Austria,1,31,5,1,1,0,3,8,92,365
1891,Zulu,8,18,16,10,20,0,1,130,58,1146
1891,East Central Africa,2,0,0,4,5,1,0,2,NA,NA
1891,West Central Africa,3,4,2,7,10,1,0,5,14,32
1891,European Turkey,4,30,12,12,15,0,9,61,72,827
1891,Western Turkey,8,108,35,24,52,1,33,263,305,3346
1891,Central Turkey,2,49,35,7,20,1,18,141,386,5031
1891,Eastern Turkey,5,130,40,18,33,1,23,300,270,2718
1891,Maratha,11,113,35,12,19,1,18,305,215,2306
1891,Madura,12,275,36,12,20,1,20,449,240,3640
1891,Ceylon,7,25,15,4,6,0,12,53,57,1485
1891,Foochow,3,24,16,7,13,2,2,54,67,546
1891,North China,7,32,8,15,28,5,3,58,181,1150
1891,Hong Kong,1,6,2,2,1,0,0,18,18,45
1891,Shanse,2,2,1,7,9,1,0,1,NA,10
1891,Japan,10,210,71,25,58,4,26,102,1040,10142
1891,Hawaii,NA,NA,NA,1,1,NA,NA,NA,NA,NA
1891,Micronesia,3,51,56,6,13,1,22,86,355,4527
1891,Western Mexico,1,5,2,1,2,0,0,0,19,85
1891,Northern Mexico,6,7,8,6,7,0,0,7,67,326
1891,Spain,1,14,15,1,3,0,4,23,60,346
1891,Austria,1,33,5,1,1,0,3,10,124,473
1892,Zulu,9,19,16,10,20,1,1,167,240,1261
1892,East Central Africa,2,NA,NA,4,5,1,0,2,NA,NA
1892,West Central Africa,3,2,2,7,8,0,0,13,7,39
1892,European Turkey,4,33,12,12,15,1,7,62,117,942
1892,Western Turkey,7,113,35,24,52,1,31,268,289,3538
1892,Central Turkey,2,47,34,6,19,1,18,130,163,5091
1892,Eastern Turkey,5,132,43,17,31,1,22,290,183,2879
1892,Maratha,8,118,35,12,20,0,24,665,122,2354
1892,Madura,12,0,37,14,19,1,21,43,159,3707
1892,Ceylon,7,25,18,3,4,0,14,58,56,1521
1892,Foochow,3,22,14,7,12,2,2,61,46,581
1892,North China,7,24,8,15,30,6,3,68,208,1270
1892,Hong Kong,1,7,2,3,2,0,0,16,2,46
1892,Shanse,3,4,1,8,10,1,0,3,NA,10
1892,Japan,10,195,92,25,57,3,28,101,1096,10760
1892,Micronesia,3,54,54,6,14,1,15,97,620,4973
1892,Hawaii,NA,NA,NA,1,1,NA,NA,NA,NA,NA
1892,Mexico,7,10,11,7,10,0,1,19,68,488
1892,Spain,1,14,15,1,5,0,5,18,40,362
1892,Austria,1,34,5,2,1,0,3,12,110,511
1893,Zulu,9,21,17,9,19,2,1,180,211,1509
1893,East Central Africa,1,0,NA,4,6,1,0,6,NA,NA
1893,West Central Africa,3,2,2,7,9,0,0,12,13,49
1893,European Turkey,4,29,13,11,14,0,7,50,67,990
1893,Western Turkey,7,115,34,22,52,1,33,276,328,3751
1893,Central Turkey,2,44,34,6,18,1,19,157,123,5098
1893,Eastern Turkey,5,132,45,17,31,0,28,287,NA,2835
1893,Maratha,8,119,38,14,22,0,17,326,194,2520
1893,Madura,12,0,37,14,21,1,21,56,302,3832
1893,Ceylon,7,27,16,4,6,0,16,4,60,1542
1893,Foochow,4,23,17,7,16,3,2,62,118,671
1893,North China,7,27,9,16,36,6,3,71,185,1357
1893,Hong Kong,1,5,2,3,2,0,5,9,7,53
1893,Shanse,3,2,2,7,10,0,0,5,NA,16
1893,Japan,10,195,96,24,57,2,0,74,1047,12081
1893,Micronesia,3,44,44,6,15,0,30,70,369,3559
1893,Hawaii,NA,NA,NA,1,1,NA,NA,NA,NA,NA
1893,Mexico,7,14,13,7,13,0,1,23,103,578
1893,Spain,1,15,15,1,5,0,5,11,34,402
1893,Austria,1,40,10,2,2,0,4,13,165,572
1894,Zulu,10,25,18,9,20,2,2,112,199,1664
1894,East Central Africa,1,0,NA,3,5,1,0,6,NA,NA
1894,West Central Africa,4,3,3,7,11,0,0,20,29,76
1894,European Turkey,4,36,13,11,13,0,9,67,46,947
1894,Western Turkey,7,105,35,22,52,1,32,275,155,3852
1894,Central Turkey,2,45,35,7,21,0,19,161,195,4927
1894,Eastern Turkey,5,118,42,7,30,0,29,275,NA,2702
1894,Maratha,8,123,40,14,22,0,23,324,133,2562
1894,Madura,12,0,37,13,20,0,20,370,325,4109
1894,Ceylon,7,25,16,4,6,0,16,62,78,1588
1894,Foochow,4,29,16,7,15,3,6,69,162,777
1894,North China,7,32,9,19,34,6,3,73,269,1602
1894,Hong Kong,1,NA,NA,3,4,0,0,NA,NA,NA
1894,Shanse,3,3,2,7,10,1,0,9,NA,21
1894,Japan,12,170,70,25,57,2,0,58,670,11079
1894,Micronesia,3,39,43,7,15,0,33,73,420,4198
1894,Hawaii,NA,NA,NA,1,1,NA,NA,NA,NA,NA
1894,Mexico,7,12,13,7,13,0,1,20,56,584
1894,Spain,NA,NA,NA,1,5,NA,NA,NA,NA,NA
1894,Austria,1,43,12,2,2,0,6,16,108,718
1895,Zulu,10,25,20,9,21,2,2,246,165,1806
1895,East Central Africa,2,0,NA,3,5,1,0,4,NA,NA
1895,West Central Africa,4,3,3,7,12,0,0,17,7,73
1895,European Turkey,5,38,14,11,13,0,10,68,49,952
1895,Western Turkey,7,104,35,22,53,1,32,277,157,3604
1895,Central Turkey,2,45,34,8,21,0,20,163,199,5124
1895,Eastern Turkey,5,119,42,15,31,1,38,270,166,3107
1895,Maratha,8,116,40,14,24,0,23,372,162,2515
1895,Madura,11,299,38,14,20,0,23,346,369,4350
1895,Ceylon,7,24,16,4,6,0,16,75,100,1656
1895,Foochow,5,30,25,9,16,3,6,77,172,926
1895,North China,7,38,9,18,41,7,3,84,212,1765
1895,Hong Kong,1,7,2,2,2,0,0,26,22,70
1895,Shanse,3,0,2,7,10,1,0,8,NA,25
1895,Japan,12,195,99,25,57,2,27,209,461,11162
1895,Micronesia,3,40,48,7,15,0,34,81,811,5392
1895,Hawaii,NA,NA,NA,2,2,NA,NA,NA,NA,NA
1895,Mexico,7,15,14,7,11,0,1,22,65,702
1895,Spain,1,14,8,1,5,0,4,9,26,402
1895,Austria,1,48,12,2,2,0,6,20,105,782
1896,Zulu,10,27,22,7,20,2,6,248,340,1947
1896,East Central Africa,2,0,NA,3,6,1,0,4,NA,NA
1896,West Central Africa,4,5,3,7,12,0,0,11,10,70
1896,European Turkey,5,44,14,11,14,0,12,67,79,1008
1896,Western Turkey,7,104,35,21,53,1,32,277,157,3604
1896,Central Turkey,2,4,34,7,19,0,21,155,68,5178
1896,Eastern Turkey,5,119,42,14,29,1,31,264,166,3107
1896,Maratha,8,116,40,14,24,0,21,322,153,2630
1896,Madura,11,299,NA,13,20,0,21,549,352,NA
1896,Ceylon,7,24,17,4,6,0,17,436,82,1710
1896,Foochow,5,32,25,8,15,3,5,119,251,1110
1896,North China,7,44,11,18,42,8,3,133,264,1898
1896,Hong Kong,1,7,3,2,2,0,0,42,50,133
1896,Shanse,3,4,2,7,10,1,0,3,5,28
1896,Japan,12,195,102,24,53,1,27,71,266,9863
1896,Micronesia,3,40,49,6,14,1,25,62,526,4195
1896,Hawaii,NA,NA,NA,2,2,NA,NA,NA,NA,NA
1896,Mexico,7,15,14,6,10,0,1,22,65,702
1896,Spain,1,14,7,1,5,0,4,15,35,453
1896,Austria,1,50,12,2,2,0,5,18,88,384
1897,West Central Africa,4,5,3,7,12,0,0,9,9,77
1897,East Central Africa,2,0,1,2,5,1,0,6,NA,16
1897,Zulu,10,20,22,8,21,2,6,295,281,2105
1897,European Turkey,5,45,14,11,14,0,13,67,66,1058
1897,Western Turkey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,Central Turkey,2,44,45,7,20,0,15,187,194,4929
1897,Eastern Turkey,5,119,42,13,28,1,31,264,150,3107
1897,Maratha,8,110,42,14,25,0,20,310,203,2749
1897,Madura,11,307,38,15,21,0,23,512,173,4595
1897,Ceylon,7,24,18,4,7,0,18,441,115,1791
1897,Foochow,5,56,36,8,14,3,7,161,548,1440
1897,Hong Kong,1,9,3,2,3,0,0,36,59,188
1897,North China,7,47,11,19,39,7,3,115,264,2057
1897,Shanse,3,4,2,7,9,1,0,7,NA,62
1897,Japan,12,195,73,23,51,1,30,82,420,10025
1897,Hawaii,NA,NA,NA,2,2,NA,NA,NA,NA,NA
1897,Micronesia,3,50,49,6,12,1,26,76,1002,4706
1897,Mexico,7,20,15,6,10,0,1,16,108,784
1897,Spain,1,14,7,1,5,0,4,22,22,459
1897,Austria,1,50,12,2,2,0,7,26,101,858
1898,West Central Africa,4,5,3,7,13,0,0,18,5,73
1898,East Central Africa,2,0,1,2,4,1,0,7,NA,27
1898,Zulu,10,20,23,7,22,2,6,295,301,2406
1898,European Turkey,5,46,14,11,14,0,11,71,98,1122
1898,Western Turkey,7,102,37,21,54,1,20,277,239,3793
1898,Central Turkey,2,44,35,7,18,0,18,226,562,5374
1898,Eastern Turkey,5,87,41,11,28,3,18,209,175,2413
1898,Maratha,8,109,43,12,24,0,18,336,748,3354
1898,Madura,11,NA,38,15,19,0,24,519,295,4592
1898,Ceylon,7,24,18,3,6,2,18,421,82,1842
1898,Foochow,5,103,39,7,14,3,7,183,308,1760
1898,Hong Kong,2,9,4,2,3,0,1,32,130,316
1898,North China,7,51,8,19,35,5,5,119,265,2266
1898,Shanse,3,7,2,7,10,1,0,11,29,67
1898,Japan,12,NA,72,22,49,0,35,74,379,10081
1898,Hawaii,NA,NA,NA,3,3,NA,NA,NA,NA,NA
1898,Micronesia,3,50,49,7,15,1,25,76,906,5313
1898,Mexico,7,62,17,6,13,0,1,20,80,896
1898,Spain,1,15,8,1,5,0,4,19,37,440
1898,Austria,1,50,13,1,1,0,10,14,124,915
1899,West Central Africa,4,5,3,7,13,1,0,24,17,97
1899,East Central Africa,2,0,1,2,4,1,0,5,5,33
1899,Zulu,10,21,25,8,20,1,5,344,469,2869
1899,European Turkey,5,47,16,11,15,0,11,69,113,1219
1899,Western Turkey,7,102,37,18,48,2,24,317,261,3905
1899,Central Turkey,2,44,32,7,20,0,20,216,479,5870
1899,Eastern Turkey,5,87,48,10,23,1,18,211,225,2515
1899,Maratha,8,105,43,12,24,0,20,637,495,3718
1899,Madura,11,NA,38,15,20,0,23,554,268,4656
1899,Ceylon,6,30,18,3,6,0,16,408,89,1913
1899,Foochow,5,105,59,8,19,3,8,195,617,2446
1899,Hong Kong,2,17,4,2,3,0,0,50,269,583
1899,North China,7,57,8,17,34,5,7,93,224,2394
1899,Shanse,2,7,2,7,9,0,0,15,52,102
1899,Japan,12,NA,70,22,46,4,35,64,431,10016
1899,Hawaii,NA,NA,NA,3,3,NA,NA,NA,NA,NA
1899,Micronesia,3,50,50,7,15,1,23,111,771,5080
1899,Mexico,6,24,17,6,12,0,1,20,81,963
1899,Spain,16,NA,8,1,5,0,4,5,56,417
1899,Austria,1,50,13,1,1,0,10,12,125,968
